Rk,Coach,Yrs,Yr-Yr,W-L%,
50,Hank Bullough,3,1978-1986,0.182,-0.396
155,Hank Gillo,1,1920,0.286,0.104
233,Hank Kuhlmann,1,1989,0,-0.286
411,Hank Stram,17,1960-1977,0.575,0.575
416,Harland Svare,7,1962-1973,0.304,-0.271
156,Harry Gilmer,2,1965-1966,0.385,0.081
278,Harry Mehre,1,1923,0.286,-0.099
344,Harry Robb,2,1925-1926,0.278,-0.008
211,Harvey Johnson,2,1968-1971,0.08,-0.198
96,Herb Dell,1,1922,0,-0.08
209,Herb Joesting,1,1929,0.1,0.1
225,Herb Kopf,3,1944-1946,0.241,0.141
389,Herb Sies,1,1923,0.4,0.159
14,Herman Ball,3,1949-1951,0.2,-0.2
116,Herman Edwards,8,2001-2008,0.422,0.222
167,Hinkey Haines,1,1931,0.25,-0.172
339,Homer Rice,2,1978-1979,0.296,0.046
371,Howard Schnellenberger,2,1973-1974,0.235,-0.061
457,Hubert Wiggs,1,1922,0.25,0.015
207,Hue Jackson,1,2011,0.5,0.25
56,Hugh Campbell,2,1984-1985,0.267,-0.233
99,Hugh Devore,3,1953-1957,0.28,0.013
419,Hugh Taylor,1,1965,0.286,0.006
30,Hugo Bezdek,2,1937-1938,0.071,-0.215
6,Hunk Anderson,4,1942-1945,0.676,0.605
345,J.D. Roberts,3,1970-1972,0.219,-0.457
66,Jack Chevigny,1,1932,0.25,0.031
68,Jack Christiansen+,5,1963-1967,0.406,0.156
95,Jack Del Rio,9,2003-2011,0.489,0.083
97,Jack Depler,3,1929-1931,0.364,-0.125
127,Jack Faulkner,3,1962-1964,0.29,-0.074
133,Jack Fish,1,1930,0.2,-0.09
139,Jack Forsyth,2,1920-1921,0.571,0.371
181,Jack Hegarty,1,1921,0.333,-0.238
183,Jack Heldt,1,1926,0.143,-0.19
220,Jack Keogh,1,1926,0.3,0.157
277,Jack Meagher,1,1946,0.167,-0.133
313,Jack Pardee,11,1975-1994,0.53,0.363
315,Jack Patera,7,1976-1982,0.372,-0.158
107,Jap Douds,1,1933,0.333,-0.039
147,Jason Garrett,4,2010-2013,0.518,0.185
134,Jeff Fisher,19,1994-2013,0.532,0.014
51,Jerry Burns,6,1986-1991,0.547,0.015
157,Jerry Glanville,9,1985-1993,0.465,-0.082
393,Jerry Smith,1,1971,0.4,-0.065
461,Jerry Williams,3,1969-1971,0.241,-0.159
17,Jim Bates,1,2004,0.429,0.188
53,Jim Caldwell,3,2009-2011,0.542,0.113
88,Jim Crowley,1,1947,0,-0.542
105,Jim Dooley,4,1968-1971,0.357,0.357
126,Jim Fassel,7,1997-2003,0.523,0.166
172,Jim Hanifan,7,1980-1989,0.424,-0.099
176,Jim Harbaugh,3,2011-2013,0.766,0.342
178,Jim Haslett,7,2000-2008,0.435,-0.331
219,Jim Kendrick,2,1923-1926,0.364,-0.071
235,Jim Laird,1,1926,0.417,0.053
197,Jim Lee Howell,7,1954-1960,0.663,0.246
240,Jim Leonard,1,1945,0.2,-0.463
289,Jim Mora,15,1986-2001,0.541,0.341
288,Jim Mora,4,2004-2009,0.484,-0.057
342,Jim Ringo+,2,1976-1977,0.13,-0.354
373,Jim Schwartz,5,2009-2013,0.363,0.233
385,Jim Shofner,1,1990,0.143,-0.22
423,Jim Thorpe+,4,1920-1923,0.359,0.216
430,Jim Tomsula,1,2010,1,0.641
432,Jim Trimble,4,1952-1955,0.556,-0.444
78,Jimmy Conzelman+,15,1921-1948,0.58,0.024
212,Jimmy Johnson,9,1989-1999,0.556,-0.024
322,Jimmy Phelan,3,1948-1952,0.316,-0.24
415,Jock Sutherland,4,1940-1947,0.636,0.32
13,Joe Bach,4,1935-1953,0.438,-0.198
39,Joe Brandy,1,1924,0,-0.438
49,Joe Bugel,5,1990-1997,0.3,0.3
76,Joe Collier,3,1966-1968,0.448,0.148
149,Joe Gibbs,16,1981-2007,0.621,0.173
232,Joe Kuharich,11,1952-1968,0.417,-0.204
323,Joe Philbin,2,2012-2013,0.469,0.052
370,Joe Schmidt+,6,1967-1972,0.558,0.089
414,Joe Stydahar+,5,1950-1954,0.417,-0.141
422,Joe Thomas,1,1974,0.182,-0.235
440,Joe Vitt,2,2005-2012,0.4,0.218
447,Joe Walton,7,1983-1989,0.482,0.082
406,Joey Sternaman,1,1923,0.571,0.089
9,John Armstrong,1,1924,0.714,0.143
141,John Fox,12,2002-2013,0.557,-0.157
177,John Harbaugh,6,2008-2013,0.646,0.089
247,John Mackovic,4,1983-1986,0.469,-0.177
249,John Madden,10,1969-1978,0.763,0.294
260,John Mazur,3,1970-1972,0.3,-0.463
271,John McKay,9,1976-1984,0.333,0.033
276,John McVay,3,1976-1978,0.378,0.045
282,John Michelosen,4,1948-1951,0.435,0.057
306,John North,3,1973-1975,0.324,-0.111
332,John Ralston,5,1972-1976,0.507,0.183
335,John Rauch,5,1966-1970,0.588,0.081
347,John Robinson,9,1983-1991,0.524,-0.064
365,John Sandusky,1,1972,0.444,-0.08
453,John Whelchel,1,1949,0.5,0.056
35,Johnny Blood+,3,1937-1939,0.24,-0.26
48,Johnny Bryan,2,1925-1926,0.133,-0.107
296,Johnny Murphy,1,1924,0,-0.133
166,Jon Gruden,11,1998-2008,0.54,0.54
266,Josh McDaniels,2,2009-2010,0.393,-0.147
215,June Jones,4,1994-1998,0.379,-0.014
405,Kay Stephenson,3,1983-1985,0.278,-0.101
287,Keith Molesworth,1,1953,0.25,-0.028
199,Ken Huffine,1,1920,0,-0.25
279,Ken Meyer,1,1977,0.357,0.357
384,Ken Shipp,1,1975,0.2,-0.157
454,Ken Whisenhunt,6,2007-2012,0.469,0.269
152,Kevin Gilbride,2,1997-1998,0.273,-0.196
223,Lane Kiffin,2,2007-2008,0.25,-0.023
465,Larry Wilson+,1,1979,0.667,0.417
25,Leeman Bennett,8,1977-1986,0.42,-0.247
363,Lenny Sachs,1,1926,0,-0.42
246,Leo Lyons,2,1923-1924,0,0
404,Les Steckel,1,1984,0.188,0.188
142,Leslie Frazier,4,2010-2013,0.396,0.208
204,Lindy Infante,6,1988-1997,0.375,-0.021
34,Lisle Blackbourn,4,1954-1957,0.354,-0.021
100,Lone Star Dietz,2,1933-1934,0.5,0.146
195,Lou Holtz,1,1976,0.231,-0.269
250,Lou Mahrt,1,1927,0.143,-0.088
360,Lou Rymkus,2,1960-1961,0.611,0.468
361,Lou Saban,16,1960-1976,0.49,-0.121
394,Lovie Smith,9,2004-2012,0.563,0.073
101,Luby DiMeolo,1,1934,0.167,-0.396
213,Luke Johnsos,4,1942-1945,0.676,0.509
399,Mac Speedie,3,1964-1966,0.24,-0.436
407,Mal Stevens,1,1946,0.333,0.093
431,Marc Trestman,1,2013,0.5,0.167
57,Marion Campbell,9,1974-1989,0.298,-0.202
44,Marty Brill,1,1931,0.5,0.202
130,Marty Feldman,2,1961-1962,0.118,-0.382
291,Marty Mornhinweg,2,2001-2002,0.156,0.038
372,Marty Schottenheimer,21,1984-2006,0.613,0.457
241,Marv Levy,17,1978-1997,0.561,-0.052
243,Marvin Lewis,11,2003-2013,0.514,-0.047
190,Max Hicks,1,1921,0.25,-0.264
103,Mel Doherty,1,1921,0.25,0
182,Mel Hein+,1,1947,0.667,0.417
433,Mel Tucker,1,2011,0.4,-0.267
102,Mike Ditka+,14,1982-1999,0.56,0.16
148,Mike Getto,1,1942,0.273,-0.287
193,Mike Holmgren,17,1992-2008,0.592,0.319
194,Mike Holovak,9,1961-1976,0.525,-0.067
258,Mike Martz,6,2000-2005,0.624,0.099
262,Mike McCarthy,8,2006-2013,0.646,0.022
263,Mike McCormack+,6,1973-1982,0.363,-0.283
264,Mike McCoy,1,2013,0.563,0.2
293,Mike Mularkey,3,2004-2012,0.333,-0.23
295,Mike Munchak+,3,2011-2013,0.458,0.125
302,Mike Nixon,3,1959-1965,0.167,-0.291
304,Mike Nolan,4,2005-2008,0.327,0.16
310,Mike Palm,1,1933,0.5,0.173
341,Mike Riley,3,1999-2001,0.292,-0.208
377,Mike Shanahan,20,1988-2013,0.552,0.26
382,Mike Sherman,6,2000-2005,0.594,0.042
390,Mike Singletary+,3,2008-2010,0.45,-0.144
395,Mike Smith,6,2008-2013,0.625,0.175
424,Mike Tice,5,2001-2005,0.492,-0.133
429,Mike Tomlin,7,2007-2013,0.634,0.142
455,Mike White,2,1995-1996,0.469,-0.165
85,Milan Creighton,4,1935-1938,0.381,-0.088
72,Monte Clark,8,1976-1984,0.432,0.051
259,Ned Mathews,1,1946,0.5,0.068
10,Neill Armstrong,4,1978-1981,0.469,-0.031
418,Nelson Talbot,2,1920-1921,0.6,0.131
362,Nick Saban,2,2005-2006,0.469,-0.131
391,Nick Skorich,7,1961-1974,0.484,0.015
179,Norb Hecker,3,1966-1968,0.133,-0.351
16,Norm Barry,2,1925-1926,0.667,0.534
437,Norm Van Brocklin+,13,1961-1974,0.398,-0.269
435,Norv Turner,15,1994-2012,0.483,0.085
228,Ollie Kraehe,1,1923,0.2,-0.283
159,Otto Graham+,3,1966-1968,0.436,0.236
110,Paddy Driscoll+,5,1920-1957,0.646,0.21
36,Pat Boland,1,1946,0.4,-0.246
317,Pat Peppler,1,1976,0.333,-0.067
388,Pat Shurmur,2,2011-2012,0.281,-0.052
46,Paul Brown,25,1946-1975,0.672,0.391
369,Paul Schissler,4,1933-1936,0.326,-0.346
456,Paul Wiggin,3,1975-1977,0.314,-0.012
131,Perry Fewell,1,2009,0.429,0.115
60,Pete Carroll,8,1994-2013,0.555,0.126
63,Pete Cawthon,2,1943-1944,0.133,-0.422
187,Pete Henry+,2,1926-1928,0.15,0.017
265,Pete McCulley,1,1978,0.111,-0.039
408,Pete Stinchcomb,1,1923,0.429,0.318
24,Phil Bengtson,4,1968-1972,0.457,0.028
170,Phil Handler,5,1943-1951,0.105,-0.352
206,Pop Ivy,6,1958-1963,0.432,0.327
73,Potsy Clark,10,1931-1940,0.604,0.172
28,Punk Berryman,2,1924-1926,0.583,-0.021
292,Raheem Morris,3,2009-2011,0.354,-0.229
216,Ralph Jones,3,1930-1932,0.706,0.352
374,Ralph Scott,1,1927,0.467,-0.239
135,Ray Flaherty+,11,1936-1949,0.684,0.217
171,Ray Handley,2,1991-1992,0.438,-0.246
251,Ray Malavasi,6,1966-1982,0.518,0.08
273,Ray McLean,2,1953-1958,0.077,-0.441
318,Ray Perkins,8,1979-1990,0.359,0.282
330,Ray Prochaska,1,1961,1,0.641
338,Ray Rhodes,5,1995-1999,0.468,-0.532
340,Ray Richards,3,1955-1957,0.4,-0.068
463,Ray Willsey,1,1961,1,0.6
27,Raymond Berry+,6,1984-1989,0.552,-0.448
93,Red Dawson,4,1946-1949,0.432,-0.12
189,Red Hickey,5,1959-1963,0.5,0.068
283,Red Miller,4,1977-1980,0.645,0.145
410,Red Strader,5,1948-1955,0.446,-0.199
450,Red Weaver,2,1924-1925,0.235,-0.211
359,Rex Ryan,5,2009-2013,0.525,0.29
45,Rich Brooks,2,1995-1996,0.406,-0.119
227,Rich Kotite,6,1991-1996,0.417,0.011
462,Richard Williamson,2,1990-1991,0.211,-0.206
320,Richie Petitbon,1,1993,0.25,0.039
140,Rick Forzano,3,1974-1976,0.469,0.219
438,Rick Venturi,2,1991-1996,0.105,-0.364
69,Rob Chudzinski,1,2013,0.25,0.145
109,Rod Dowhower,2,1985-1986,0.172,-0.078
254,Rod Marinelli,3,2006-2008,0.208,0.036
356,Rod Rust,1,1990,0.063,-0.145
86,Romeo Crennel,6,2005-2012,0.337,0.274
119,Ron Erhardt,4,1978-1981,0.429,0.092
280,Ron Meyer,9,1982-1991,0.519,0.09
343,Ron Rivera,3,2011-2013,0.521,0.002
443,Ron Waller,1,1973,0.167,-0.354
7,Roy Andrews,8,1924-1931,0.654,0.487
436,Rube Ursella,3,1920-1925,0.6,-0.054
90,Russ Daugherty,1,1927,0.5,-0.1
428,Russell Tollefson,1,1922,0.25,-0.25
357,Sam Rutigliano,7,1978-1984,0.485,0.235
20,Sammy Baugh+,3,1960-1964,0.429,-0.056
244,Scott Linehan,3,2006-2008,0.306,-0.123
31,Scotty Bierce,1,1925,0.667,0.361
316,Sean Payton,7,2006-2013,0.652,-0.015
15,Shorty Barr,1,1926,0.333,-0.319
154,Sid Gillman,18,1955-1974,0.552,0.219
74,Stan Cofall,1,1920,0,-0.552
255,Steve Mariucci,9,1997-2005,0.518,0.518
308,Steve Owen+,23,1931-1953,0.602,0.084
397,Steve Spagnuolo,3,2009-2011,0.208,-0.394
400,Steve Spurrier,2,2002-2003,0.375,0.167
352,Tam Rose,1,1921,0,-0.375
253,Ted Marchibroda,12,1975-1998,0.47,0.47
299,Ted Nesser,2,1920-1921,0.176,-0.294
383,Ted Shipkey,1,1947,0.667,0.491
348,Terry Robiskie,2,2000-2004,0.222,-0.445
164,Tex Grigg,1,1925,0,-0.222
37,Todd Bowles,1,2011,0.667,0.667
169,Todd Haley,3,2009-2011,0.422,-0.245
29,Tom Bettis,1,1977,0.143,-0.279
52,Tom Cable,3,2008-2010,0.386,0.243
83,Tom Coughlin,18,1995-2013,0.549,0.163
129,Tom Fears+,4,1967-1970,0.277,-0.272
136,Tom Flores,12,1979-1994,0.527,0.25
237,Tom Landry+,29,1960-1988,0.607,0.08
375,Tom Scott,1,1946,0.143,-0.464
198,Tommy Hudspeth,2,1976-1977,0.458,0.315
201,Tommy Hughitt,5,1920-1924,0.694,0.236
331,Tommy Prothro,7,1971-1978,0.407,-0.287
113,Tony Dungy,13,1996-2008,0.668,0.261
398,Tony Sparano,4,2008-2011,0.475,-0.193
117,Turk Edwards+,3,1946-1948,0.471,-0.004
203,Tut Imlay,1,1926,0.667,0.196
41,Untz Brewer,1,1922,0.375,-0.292
245,Vince Lombardi,10,1959-1969,0.738,0.363
426,Vince Tobin,5,1996-2000,0.394,-0.344
325,Wade Phillips,12,1985-2013,0.562,0.168
188,Wally Hess,3,1922-1924,0.2,-0.362
239,Wally Lemm,10,1961-1970,0.5,0.3
270,Wally McIlwain,1,1926,0,-0.5
111,Walt Driskill,1,1949,0.125,0.125
222,Walt Kiesling+,9,1939-1956,0.353,0.228
226,Walt Koppisch,1,1925,0.143,-0.21
281,Walt Michaels,6,1977-1982,0.453,0.31
40,Wayne Brenkert,2,1923-1924,0.3,-0.153
138,Wayne Fontes,9,1988-1996,0.496,0.196
284,Wayne Millner+,1,1951,0.2,-0.296
123,Weeb Ewbank,20,1954-1973,0.502,0.302
458,Willie Wilkin,1,1946,0.5,-0.002
